District_Name,Crop_Year,Season,Crop,Area,Production
NANDED,2014,Kharif     ,Arhar/Tur,71600,14700
NANDED,2014,Kharif     ,Castor seed,300,100
NANDED,2014,Kharif     ,Cotton(lint),342300,176800
NANDED,2014,Kharif     ,Groundnut,100,
NANDED,2014,Kharif     ,Jowar,88300,28600
NANDED,2014,Kharif     ,Maize,700,300
NANDED,2014,Kharif     ,Moong(Green Gram),23600,3900
NANDED,2014,Kharif     ,Niger seed,400,
NANDED,2014,Kharif     ,Other Kharif pulses,200,
NANDED,2014,Kharif     ,Rice,800,100
NANDED,2014,Kharif     ,Sesamum,1300,100
NANDED,2014,Kharif     ,Soyabean,218900,64500
NANDED,2014,Kharif     ,Sunflower,1300,300
NANDED,2014,Rabi       ,Gram,51200,25700
NANDED,2014,Rabi       ,Jowar,25600,13000
NANDED,2014,Rabi       ,Maize,200,100
NANDED,2014,Rabi       ,Other  Rabi pulses,100,
NANDED,2014,Rabi       ,Safflower,3100,900
NANDED,2014,Rabi       ,Sesamum,100,
NANDED,2014,Rabi       ,Wheat,39500,29200
NANDED,2014,Summer     ,Groundnut,5000,4300
NANDED,2014,Summer     ,Maize,3000,3500
NANDED,2014,Whole Year ,Sugarcane,18800,1113200
OSMANABAD,2014,Kharif     ,Arhar/Tur,101000,28600
OSMANABAD,2014,Kharif     ,Bajra,17700,4400
OSMANABAD,2014,Kharif     ,Castor seed,1300,300
OSMANABAD,2014,Kharif     ,Cotton(lint),29300,23000
OSMANABAD,2014,Kharif     ,Groundnut,7100,1900
OSMANABAD,2014,Kharif     ,Jowar,45300,12000
OSMANABAD,2014,Kharif     ,Maize,21200,8000
OSMANABAD,2014,Kharif     ,Moong(Green Gram),15600,3400
OSMANABAD,2014,Kharif     ,Niger seed,3400,500
OSMANABAD,2014,Kharif     ,Other Kharif pulses,2100,100
OSMANABAD,2014,Kharif     ,Rice,13100,2500
OSMANABAD,2014,Kharif     ,Sesamum,5400,600
OSMANABAD,2014,Kharif     ,Soyabean,133500,65600
OSMANABAD,2014,Kharif     ,Sunflower,14300,3500
OSMANABAD,2014,Rabi       ,Gram,112900,48700
OSMANABAD,2014,Rabi       ,Jowar,215900,74500
OSMANABAD,2014,Rabi       ,Linseed,4900,1100
OSMANABAD,2014,Rabi       ,Maize,2700,1600
OSMANABAD,2014,Rabi       ,Other  Rabi pulses,1100,200
OSMANABAD,2014,Rabi       ,Safflower,28300,8000
OSMANABAD,2014,Rabi       ,Sunflower,15800,4900
OSMANABAD,2014,Rabi       ,Wheat,24100,7100
OSMANABAD,2014,Summer     ,Groundnut,1900,800
OSMANABAD,2014,Summer     ,Maize,1300,
OSMANABAD,2014,Summer     ,Sunflower,500,200
OSMANABAD,2014,Whole Year ,Sugarcane,39800,1592200
